,school,error_min,error_min20,error_min10,error_rel,error_rho
0,t11_10_1,0.00029121734990051126,0.00029121734990051126,0.002370816512332701,1.2737970571377375,0.003283217142077202
1,t11_10_2,0.004877019815187151,0.02314080177766448,0.04508409841610976,2.3958204997664816,0.04508409841610976
2,t11_10_3,0.002221763725147124,0.031352056463776784,0.07576818231506233,2.518556505721127,0.04352758597112997
3,t11_10_4,0.0007961646458149479,0.00621401569407623,0.010372590365106573,2.7358714195045613,0.011651354885196709
4,t11_9_1,0.003948752884033188,0.004464244312840554,0.006072427689564934,1.1895306146778637,0.008552075504636318
5,t11_9_2,0.0007657740172504783,0.0022404710154478036,0.0038038323275053007,1.8869759184916854,0.004144093532646534
6,t11_9_3,0.0012303520436168427,0.024878289493466293,0.05390045687627103,1.7927855392921388,0.03493143066410892
7,t11_9_4,0.0016318038209633008,0.0016318038209633008,0.0016318038209633008,1.276233603840395,0.0016318038209633008
8,t11_8_1,0.0012569830383050047,0.003819485517107698,0.003819485517107698,0.6891888737476979,0.007915233000176094
9,t11_8_2,0.006433027150929878,0.01085432433824637,0.016751395564939812,1.5448021172693005,0.02058829888732594
10,t11_8_3,0.005674493233375834,0.00717105850566819,0.012536744669882189,1.0308209901467582,0.013598872841139642
11,t11_8_4,0.000785802702222953,0.005302646387729011,0.005302646387729011,1.2274090078224111,0.006783901622589343
12,t11_7,0.004130684738088297,0.004832760469912378,0.019013871868076036,1.7399623842893028,0.019032019461030246
13,t11_6,0.00015478614919967688,0.0003008861684849656,0.002635515758138676,1.0914121773996002,0.004994190199637358
14,t11_5_1,0.0005284166423712751,0.0008290742930669339,0.008856797824392025,0.8355545303873885,0.010535586672307928
15,t11_5_2,0.0027117679443669765,0.0027117679443669765,0.0027117679443669765,1.959087941972855,0.002743597037797059
16,t11_5_3,0.0019730344000879374,0.019733789187051293,0.023725683654997123,2.2126972742942845,0.03470185361488501
17,t11_5_4,0.00016891111258956324,0.00016891111258956324,0.002127064622075623,1.4858971303613453,0.0026351049491517833
18,t11_4_1,0.002143307429164118,0.002143307429164118,0.002143307429164118,0.8682463243401527,0.0032467788592141834
19,t11_4_2,0.0012996392167874543,0.003207651835191546,0.0035679039907683596,2.394481336811881,0.004436930120084882
20,t11_4_3,0.0026474090557264116,0.03963249881730396,0.04064077259827223,2.754883337775773,0.04536265084535462
21,t11_4_4,0.00528311338222014,0.00528311338222014,0.005288136149489789,1.954780305473427,0.005288136149489789
22,t11_3_1,0.0016122925346352829,0.04820514118756537,0.0833075762746309,1.807396584675478,0.051832424143462355
23,t11_3_2,0.0003114257044415251,0.005635434273340327,0.013335161346854236,2.7969231900302116,0.0191157340888101
24,t11_2_1,0.00012522890000390112,0.0001413923993228901,0.0005458427989395416,1.5700784025568801,0.004533068889412435
25,t11_2_2,0.0016000841224852436,0.006005536681451315,0.020968325672504583,2.5993113991863646,0.011460635244045073
26,t11_2_3,0.0010474256893962628,0.002829126363990403,0.006634923717880583,2.062675347383504,0.012394685929169858
27,t11_2_4,0.0028689478839095954,0.0028689478839095954,0.009567083797658605,1.9621043200569057,0.009567083797658605
28,t11_1_1,0.0004495064763622099,0.0004495064763622099,0.006411564906506139,1.6894659449320142,0.006411564906506139
29,t11_1_2,0.0005804461867547079,0.001884617265956772,0.007878247599706458,1.8243028534092578,0.014215686700530287
30,t1,0.00440834820263777,0.01022698314128795,0.018275937345898663,1.322678957907363,0.01022698314128795
31,t2,0.0005000399046873806,0.0034468170316127684,0.0034468170316127684,0.9792214999422443,0.0034468170316127684
32,t6,0.001872552765198155,0.00803773283480288,0.009100019758292284,1.2694435016053935,0.013290099572613984
