school,q,p,ps,rho,tr0,tr1,tr2,tr3,tr4,tr5,tr6,tr7,q_std,p_std,ps_std,rho_std,tr0_std,tr1_std,tr2_std,tr3_std,tr4_std,tr5_std,tr6_std,tr7_std,repetitions
t11_10_1,0.9,0.0,0.75,0.873859727830118,0.004580429564801309,0.027000223812059614,0.007756245514111738,0.06295293000856661,0.014007547868768956,0.046470586722027994,0.08622552537951579,0.7510065111301479,0.007216878364870323,0.014433756729740645,0.014433756729740645,0.021034050675092293,0.002023404481973313,0.008117991196151954,0.0027077954703767716,0.01394594545707909,0.004499381836157793,0.00906910224098354,0.014696773370564369,0.04844008790255619,1
t11_10_2,0.9624999999999999,0.725,0.525,0.7319509579926247,0.031651358581665456,0.09144389567576747,0.021265780829200165,0.13013991985043255,0.04853755758403533,0.06317037365253916,0.16334154372831006,0.4504495700980498,0.01909406539564935,0.31852524756027323,0.0381881307912987,0.01918374820958925,0.006102017527663751,0.007838206703629388,0.0036783113848015787,0.008269867562689843,0.006722381155717476,0.004953458437147394,0.008011842520363847,0.03286190261073518,2
t11_10_3,0.95625,0.7625,0.5125,0.6781846859397916,0.04614692217131744,0.11903174722529375,0.026962892568553627,0.13059885054920878,0.06423559226583218,0.06362445855597257,0.16262702963330553,0.3867725070305161,0.024999999999999974,0.21794494717703364,0.028867513459481308,0.0125187923103098,0.005753059763742914,0.007306972360378929,0.002782266310832452,0.004829022218993778,0.005993478010256862,0.0033102446320259723,0.007356387234374627,0.025148526393553746,5
t11_10_4,0.9333333333333335,0.625,0.55,0.7553487700133547,0.025068257931015636,0.08103616930966878,0.02077076792915133,0.11195500352764916,0.042768993562467446,0.06682174538424322,0.14625159087824477,0.5053274714775596,0.014790199457749,0.3048906907948049,0.056642151559888096,0.009858461742771543,0.0027305937732429978,0.0044653395492310335,0.0020192439432537217,0.004572003175745618,0.003435706460167553,0.0030309884836665414,0.005318188948091576,0.020142467928918106,8
t11_9_1,0.75,0.15,1.0,0.921572527181119,0.0008907433294267707,0.008887429811308321,0.0036465172759492237,0.0334116999195154,0.0057821832507307155,0.029955804069414442,0.04437831528313165,0.8730473070605234,0.007216878364870323,0.014433756729740645,0.014433756729740645,0.009831430277852264,0.00034768497748572085,0.002367748468526412,0.001052888368978417,0.006607584008113473,0.0013447764042854998,0.005753742901924247,0.00759404918444487,0.023203157187379024,2
t11_9_2,0.85,0.1,0.775,0.8449480802421979,0.007948275046526686,0.041151447832207075,0.012870888239717238,0.08144820735651757,0.020284983093808565,0.06245096552050354,0.10683114523340004,0.6670140876773192,0.03608439182435164,0.07216878364870323,0.0381881307912987,0.020637648756301287,0.0024725488117703495,0.006662854607999596,0.0032212907629545163,0.010203879006021956,0.004980585425328855,0.007255858263175746,0.012084308860935906,0.041453773036170434,2
t11_9_3,0.975,0.8,0.5,0.7423753196930946,0.047137795275590554,0.12979527559055118,0.010877952755905512,0.0983503937007874,0.04716535433070866,0.03708267716535433,0.12962992125984252,0.4999606299212598,0.007216878364870323,0.014433756729740645,0.014433756729740645,0.029738923765932485,0.015241773354930089,0.03346519098156996,0.0043161794278906455,0.01587286266594637,0.015641742374751046,0.01034565625914062,0.01812630820175008,0.054709478978067855,1
t11_9_4,0.9,0.75,0.55,0.9350374732334048,0.0018042452830188682,0.013195754716981131,0.00236438679245283,0.035896226415094344,0.008060141509433964,0.023950471698113207,0.03817806603773585,0.8765507075471698,0.007216878364870323,0.014433756729740645,0.014433756729740645,0.016121858594979433,0.0014085783702607252,0.006101050520597582,0.0015712570440011258,0.015041161010410111,0.002826602055313729,0.009207946624909568,0.014719875415892767,0.04556497997429564,1
t11_8_1,0.9375,0.75,0.625,0.9726925489719929,0.00039106176483742555,0.003387245255452689,0.0007102844492150812,0.011019704965934672,0.0017296353444548802,0.008969728819118327,0.022717734842047196,0.9510746045589398,0.019094065395649274,0.07216878364870329,0.0381881307912987,0.008538815731207357,0.00035115778589431333,0.002638655421329408,0.000663400807182784,0.005944560263020473,0.0011049629658878523,0.004407123895717715,0.006969254227432834,0.019476088379129647,2
t11_8_2,0.7625,0.275,0.875,0.9276592675034523,0.0026637039440172445,0.018113847681553663,0.004477298738482651,0.03166426996823141,0.008643520181402391,0.02566359794858063,0.04116360674577274,0.8676101547919592,0.01909406539564935,0.10704360482220938,0.10704360482220934,0.018789533109400455,0.0018994370682593944,0.007234496011233173,0.00268184575470277,0.012491344195581565,0.0038135766974387616,0.009076627165850136,0.014440323885510645,0.04511894515129456,2
t11_8_3,0.75,0.6,0.65,0.8837390761548066,0.008121876201460978,0.022058823529411766,0.007352941176470588,0.039840445982314496,0.016339869281045753,0.02494232987312572,0.04233948481353325,0.8390042291426375,0.007216878364870323,0.014433756729740645,0.014433756729740645,0.03288738845985523,0.004983841004255115,0.01007614560661036,0.0054083550904331515,0.020296966730963647,0.006362959537539826,0.014405738442823281,0.018731501711964006,0.06481602822396153,1
t11_8_4,0.25,0.85,0.75,0.9798380631713965,3.6489691662105454e-05,0.0007662835249042146,0.0012528127470656204,0.006519491576962841,0.0016055464331326398,0.0058018609742747675,0.00878185246001338,0.9752356625919842,0.007216878364870323,0.014433756729740645,0.014433756729740645,0.010160263488259918,0.000187220923661599,0.0015022611509336854,0.001994996931429403,0.00649530861305707,0.0021610093762052017,0.006201811976361661,0.007189751839028351,0.02272359549009295,1
t11_7,0.9083333333333333,0.5,0.6,0.832806633661825,0.012657992052834008,0.06041701781820243,0.012186700920322169,0.08002247346174339,0.023143932555629073,0.04688830679815179,0.09729278215528557,0.6673907942378315,0.016137430609197582,0.427443953441072,0.10103629710818449,0.012806259424746958,0.00229513142601618,0.006385173789318035,0.0023539837137768324,0.007305005714642882,0.0037085748646024353,0.004581663600065971,0.007217149540115968,0.026679146408570744,4
t11_6,0.7375,0.35,0.875,0.9235616190411549,0.0013521834697383843,0.009872719385339984,0.0042714757193734725,0.04106128272171919,0.006923100251449427,0.035315656715492943,0.04836610614673202,0.8528374755901545,0.01909406539564935,0.07216878364870323,0.0381881307912987,0.013444519757901325,0.0005838325203476035,0.002986327831073527,0.0014895019468067613,0.009081596777594467,0.0020103450276164198,0.007885025059450112,0.010201871389697442,0.032362574477552794,2
t11_5_1,0.9,0.2,0.65,0.8361951982102169,0.008704074367685371,0.04788153368264966,0.012702318053055398,0.08521100594635866,0.021220796828608706,0.0699012249430743,0.11389607912126845,0.6404829670572996,0.007216878364870323,0.014433756729740645,0.014433756729740645,0.02022459213320516,0.0024464291625968648,0.007253232439760816,0.002727481471793639,0.009865503539165094,0.004581643415983951,0.0076844051822300505,0.012260081286419432,0.04217770062983511,2
t11_5_2,0.875,0.4,0.625,0.8645132676516102,0.0061210889048933705,0.03312470894628274,0.01082271786100108,0.07325835087991303,0.015554763319840665,0.06498248328976558,0.09509439552797005,0.7010414912703334,0.007216878364870323,0.35384789575936915,0.10704360482220934,0.032712461016528124,0.0034954287074160204,0.010813827207318704,0.004138655834854087,0.014961568260062287,0.006374887363734104,0.012079777730001393,0.01910504700653964,0.06700709736070427,2
t11_5_3,0.925,0.6,0.55,0.8199523975386045,0.013093852502380699,0.05401250896436591,0.015539213957370766,0.09608624601747022,0.027231098414042018,0.0709272387401686,0.12009311184001693,0.6030167295641848,0.007216878364870323,0.014433756729740645,0.014433756729740645,0.059283045674649426,0.009602559284704127,0.018304801235744194,0.008660505712453847,0.023720767306542007,0.015386462673098454,0.015523103031270446,0.026799110150447933,0.10741848969412543,1
t11_5_4,0.7875,0.15000000000000002,0.825,0.8451663343483375,0.006152753970012293,0.032712291827538736,0.014467384123580094,0.08617445036505736,0.018554298029568556,0.07527741856963316,0.0992217240533285,0.6674396790612812,0.04389855730355307,0.23496453633119474,0.15612494995995996,0.014975164211150917,0.0014789244412721774,0.005019055939410532,0.0028223206767815107,0.008467876397894158,0.0036782414269150607,0.007306373678885898,0.009959406645328848,0.034977285567078,4
t11_4_1,0.6000000000000001,0.125,0.875,0.5455135861451179,0.09590780895172515,0.1229690132591019,0.10246959929675481,0.1266125192293605,0.1133790564793788,0.11779265255292652,0.14527324005567357,0.17559611017507876,0.07107800878846658,0.10704360482220943,0.1773649721149397,0.02262567967328992,0.016774882795896756,0.010105853214047368,0.007837773108656696,0.006443953896230582,0.008669096086793957,0.006991920083440734,0.00679947493921563,0.02252599415508945,3
t11_4_2,0.675,0.65,0.55,0.7190110986407283,0.031247765230563204,0.07418134300704074,0.04962325850512615,0.12948660438567408,0.05743113659560913,0.11512556966304553,0.13650459306067522,0.4063997295522659,0.007216878364870323,0.014433756729740645,0.014433756729740645,0.07246530173910493,0.018037961993261274,0.02520095170507085,0.01971139834089235,0.01739798635425136,0.022677736838736633,0.014859787316759165,0.020984167186074612,0.12194508743014079,1
t11_4_3,0.14761904761904762,0.7095238095238096,0.4452380952380953,0.694792671407056,0.035317322775919195,0.06870346150422912,0.06511362608019058,0.13212067938876815,0.07056574969592647,0.1286709302230571,0.13357688492200492,0.3659313454099046,0.13433588854948986,0.07818628548598046,0.3073020074934816,0.012563764457755342,0.0036691896418566327,0.003907711125430984,0.003859226951278544,0.0034248933442309467,0.004211421377097709,0.0030607954749428262,0.0033573989759091566,0.020280545435311298,21
t11_4_4,0.4,0.75,0.4,0.7115241635687732,0.037209302325581395,0.07107558139534884,0.05399709302325582,0.12718023255813954,0.06562500000000002,0.10973837209302326,0.13248546511627907,0.4026889534883721,0.007216878364870323,0.014433756729740645,0.014433756729740645,0.08751995799581995,0.02392940040941455,0.029236440788573684,0.027830180219121547,0.021542377980053984,0.029542446646341463,0.01842041265465153,0.016579574877595853,0.14419171594906358,1
t11_3_1,0.9624999999999999,0.8999999999999999,0.5,0.6641189637851492,0.05542956806174688,0.12744096472647096,0.028792427972444433,0.1350075423557346,0.0729488103166315,0.06450204984365689,0.1712761107746228,0.344602525948692,0.01909406539564935,0.07216878364870322,0.014433756729740645,0.021744615483778013,0.009595953933319077,0.011067257488937204,0.004366314472288782,0.00914154868606499,0.010920404080818038,0.007791257710616605,0.009391337893592101,0.03533342394796243,2
t11_3_2,0.9,0.75,0.5,0.693099610461881,0.039493880973500387,0.09260138319104115,0.04315802056769044,0.13208573566914292,0.06299115062645524,0.10168723666703626,0.15880017185940792,0.36918242044572563,0.007216878364870323,0.014433756729740645,0.014433756729740645,0.0263753572669767,0.009069975039793001,0.009649462226490328,0.0072766898637711885,0.008084190530950929,0.01020268642823069,0.006692596308080059,0.00817950338138482,0.04140420070962966,1
t11_2_1,0.775,0.2,1.0,0.9435387768721104,0.0004660553680161523,0.005503283934656484,0.0021371511567589998,0.02349270192407447,0.004291859193819978,0.01975627857980799,0.03465568563607779,0.9096969842067884,0.007216878364870323,0.014433756729740645,0.014433756729740645,0.012069187713416689,0.0004349154803006936,0.002769704694402502,0.0010411226776996863,0.007245479669233257,0.0019031790695825876,0.005769175945633204,0.008635700770882533,0.02507298776930206,1
t11_2_2,0.975,0.4,0.55,0.8113915654238234,0.011292037991244917,0.05848159271701566,0.009005442024221598,0.08515483666972969,0.022061107561808103,0.04871580653506531,0.14175782296777162,0.623531353533143,0.007216878364870323,0.014433756729740645,0.014433756729740645,0.01812761878340498,0.0027182950185496036,0.006078969309551137,0.002310202746144061,0.01063096069526446,0.004279784286863491,0.0060945839558528715,0.01010174813360399,0.034722885429460615,1
t11_2_3,0.875,0.3,0.65,0.7885001114330287,0.015285041989995331,0.057482423455144205,0.02045374263608291,0.10529062546291548,0.03108740983830718,0.07871557333151016,0.1295981038981757,0.5620870793878692,0.007216878364870323,0.014433756729740645,0.014433756729740645,0.02165566723530386,0.004338852734158741,0.009268453255729645,0.005086428549314162,0.010435173308605022,0.0065210511342354395,0.009116127184381921,0.013167327458611775,0.04917489085470192,1
t11_2_4,0.95,1.0,0.5,0.8547249246173977,0.008330247830066364,0.051878002255777836,0.006244325423447136,0.07280321332253102,0.01499004696074873,0.04250662619463966,0.08983519135619172,0.7134123466565976,0.007216878364870323,0.014433756729740645,0.014433756729740645,0.03062306736771361,0.004135870848159119,0.014988009237590326,0.0031835811976612207,0.017169950985381165,0.0065968109077748326,0.009863842701467031,0.022811541287520016,0.07054359751994088,2
t11_1_1,0.7699999999999999,0.06999999999999999,0.89,0.7499532559216446,0.01934663220144172,0.06543291625179233,0.030562872058479705,0.11544836674400087,0.044299912855954,0.09067493308874143,0.1372674046933527,0.49696696210623725,0.013307266185559436,0.09853087502571635,0.07555351304428756,0.009323852651193855,0.0021718413845033114,0.004321334237656461,0.0025927949407570433,0.0044708074431696,0.0034117504532718695,0.003433111191102035,0.005027622359405944,0.01997872061308596,5
t11_1_2,0.925,0.6,0.55,0.8317326854821875,0.008763350920087504,0.044511645862823315,0.013724597368915991,0.09959217207962544,0.020726963166803596,0.07280322302841927,0.1124288528354929,0.6274491947378319,0.007216878364870323,0.014433756729740645,0.014433756729740645,0.021114923083121,0.0029512625644652762,0.009238301030266896,0.0029871012493716495,0.009702014353862837,0.004452721522574851,0.005756840700619598,0.014858058950431722,0.04326341685460868,1
t1,0.925,0.45,0.6,0.9527852136719911,0.0010036260036260037,0.01041234999568333,0.001569379694379694,0.02212212941379608,0.0026248057498057496,0.017317944401277735,0.029617488992488995,0.9153322757489425,0.007216878364870323,0.014433756729740645,0.014433756729740645,0.014057418686280373,0.0006428854272646565,0.0036800888867496574,0.0008715893534904826,0.008499961639184603,0.0014303965545707216,0.006525187438868123,0.009654178538739814,0.029791396460221428,1
t2,0.875,0.5,0.65,0.9768688945340428,0.0003142766728206223,0.004705878419254746,0.0007339536622645013,0.011546037165591036,0.0011357022383039267,0.008669564903992292,0.012504438175966718,0.9603901487618061,0.03608439182435164,0.49518515055818596,0.2126225137028846,0.003120548671392285,0.00011445347068838968,0.0008682933082500214,0.00018337076801364763,0.002167440896331839,0.00026600844241654543,0.0016804223366216069,0.0023354615954127543,0.007139228712616172,4
